,date,title,prob_1,prob_5,prob_10,prob_20
12552,2010.03.02 09:52,"삼성전자, TV용 백라이트유닛 직접 생산",45.0,55.0,65.0,70.0
12553,2010.03.03 17:26,"윤부근 삼성전자 사장 ""올해는 가정용 3D TV 원년""",50.0,60.0,70.0,75.0
12554,2010.03.03 04:00,"삼성전자, 독자 OS 탑재한 스마트폰 ‘웨이브’ 공개",45.0,55.0,65.0,70.0
12555,2010.03.04 17:23,모바일융합 협의체 삼성전자 중심 구성,50.0,60.0,70.0,75.0
12556,2010.03.05 15:49,"삼성전자, 세계 존경받는 기업 종합 42위",60.0,70.0,80.0,85.0
12557,2010.03.06 18:10,삼성전자와 LG전자 스마트폰 전략 비교,50.0,60.0,70.0,75.0
12558,2010.03.09 18:07,"삼성전자, TV용 앱 플랫폼 `바다` 채택",50.0,60.0,70.0,75.0
12559,2010.03.10 10:02,삼성전자-LGD `중국행 티켓戰`,50.0,60.0,70.0,75.0
12560,2010.03.12 09:35,"삼성전자, 국내 첫 3D 휴대폰 내놓는다",45.0,55.0,65.0,70.0
12561,2010.03.16 17:55,"삼성전자 부도위험, 韓·中·日보다 낮아",40.0,50.0,60.0,65.0
12562,2010.03.16 17:47,"삼성은 안드로이드폰, LG전자는 안드로폰…왜?",50.0,60.0,70.0,75.0
12563,2010.03.17 21:06,"삼성전자, 강태진 KT 전무 영입",45.0,55.0,65.0,70.0
12564,2010.03.17 17:50,삼성전자의 창조적 변신…아이디어 내면 하위직도 팀장,45.0,55.0,65.0,70.0
12565,2010.03.17 17:50,삼성전자 기본급여 유지 누적연봉제 도입,50.0,60.0,70.0,75.0
12566,2010.03.18 21:07,[부음] 권강현씨(삼성전자 상무) 장모상,25.0,35.0,45.0,50.0
12567,2010.03.18 17:45,삼성전자·LGD·CJ푸드빌…5년간 일자리 많이 늘렸다,50.0,60.0,70.0,75.0
12568,2010.03.18 17:11,"[매경 베스트 클릭] `삼성전자, 아이디어 내면 하위직도 팀장` 26만번 클릭",50.0,60.0,70.0,75.0
12569,2010.03.19 15:40,"[주주총회] 최지성 대표 ""삼성전자 올해 두자릿수 성장""",50.0,60.0,70.0,75.0
12570,2010.03.19 15:27,[부음] 엄명윤씨(삼성전자 책임연구원) 모친상,25.0,35.0,45.0,50.0
12571,2010.03.20 14:52,삼성전자와 LG전자의 헬스케어 사업,45.0,55.0,65.0,70.0
12572,2010.03.23 17:49,삼성전자 3D영상으로 3D TV 광고,45.0,55.0,65.0,70.0
12573,2010.03.24 17:47,"직함은 삼성전자 회장, 실질적으론 그룹 회장",50.0,60.0,70.0,75.0
12574,2010.03.24 17:31,삼성전자 이재용 부사장 업무 변화없다,45.0,55.0,65.0,70.0
12575,2010.03.24 16:53,이제는 한국서 `삼성전자` 같은금융회사 나올때,40.0,50.0,60.0,65.0
12576,2010.03.24 11:40,"삼성전자, 스마트폰 `갤럭시 S` 공개",50.0,60.0,70.0,75.0
12577,2010.03.24 10:36,"이건희 전 회장, 삼성전자 경영복귀",45.0,55.0,65.0,70.0
12578,2010.03.27 13:27,LG전자와 삼성전자의 안드로이드폰 경쟁,45.0,55.0,65.0,70.0
12579,2010.03.29 15:31,[Money insight] 삼성전자와 대한항공 희비가른 환율,40.0,50.0,60.0,65.0
12580,2010.03.31 09:06,미국서 삼성전자ㆍLGD 집단소송 우려,40.0,50.0,60.0,65.0
12581,2010.03.31 04:00,[한국 100대 CEO] 최지성 삼성전자 사장,50.0,60.0,70.0,75.0
12582,2010.03.31 04:00,"최지성 삼성전자 사장, 전문인력 영입으로 소프트웨어 강화",50.0,60.0,70.0,75.0
12583,2010.04.01 17:32,`마켓드리븐` 전략으로 삼성전자 재무장한다,45.0,55.0,65.0,70.0
12584,2010.04.01 09:52,삼성전자 분기 이익 컨센서스의 시사점,45.0,55.0,65.0,70.0
12585,2010.04.02 20:48,삼성전자 85만7천원…현대차는 12만8천원,50.0,60.0,70.0,75.0
12586,2010.04.02 15:18,삼성전자·현대자동차 나란히 사상 최고가,50.0,60.0,70.0,75.0
12587,2010.04.02 08:51,최지성 삼성전자 사장 “추격자 아닌 선도자 돼야”,50.0,60.0,70.0,75.0
12588,2010.04.04 18:10,이번주 증시변수…삼성전자 1분기 실적잠정치 주목,50.0,60.0,70.0,75.0
12589,2010.04.04 18:06,삼성전자 임원 868명 `사상최대`,60.0,70.0,80.0,90.0
12590,2010.04.05 17:37,삼성전자 1분기 영업익 4조3천억,80.0,90.0,95.0,98.0
12591,2010.04.05 17:12,삼성전자 임금 5%+α 올린다,70.0,75.0,80.0,85.0
12592,2010.04.05 15:32,[전자책 르네상스] 삼성전자 `SNE - 60·60K`,50.0,60.0,70.0,80.0
12593,2010.04.06 17:49,삼성전자 올 영업이익 16조 넘는다,85.0,90.0,95.0,98.0
12594,2010.04.06 17:20,"[Hello! 증시] 삼성전자 ""역시 뉴스에 밀리네""",40.0,50.0,60.0,70.0
12595,2010.04.06 17:14,삼성전자 최대실적 비결은 `PRICE`,75.0,80.0,85.0,90.0
12596,2010.04.07 17:45,삼성전자 연결대상 19곳 늘어…영업이익은 5%↓,30.0,40.0,50.0,60.0
12597,2010.04.07 17:36,삼성전자·현대차 너무 달렸나,45.0,55.0,65.0,75.0
12598,2010.04.07 17:13,삼성전자 모든 반도체사업장…`나노시티`로 불러주세요,70.0,80.0,90.0,95.0
12599,2010.04.07 15:28,삼성전자 中 공격경영 재천명,55.0,65.0,75.0,85.0
12600,2010.04.07 04:00,[이슈] 이건희 회장 체제의 10년 후 삼성전자,60.0,70.0,80.0,90.0
12601,2010.04.08 17:32,삼성전자 현금성자산 10조3391억으로 1위,80.0,85.0,90.0,95.0
12602,2010.04.08 16:31,[이번주 매경 베스트클릭] 삼성전자 최고 실적에 주가도 당당,70.0,80.0,90.0,95.0
12603,2010.04.09 17:53,삼성전자 - 디지털이미징합병비율 1대 0.057로 결정,55.0,65.0,75.0,85.0
12604,2010.04.09 08:44,[Money&Riches] 삼성전자 주가 100만원 가능할까,50.0,60.0,70.0,80.0
12605,2010.04.09 08:43,삼성전자 주가 힘달리네,75.0,80.0,85.0,90.0
12606,2010.04.09 08:43,"[삼성전자 수익] 메모리부문, 이보다 좋을순 없다지만…",60.0,70.0,80.0,90.0
12607,2010.04.12 17:44,삼성전자 작년 수출 25% 늘어 74조 최고,75.0,80.0,85.0,90.0
12608,2010.04.12 16:43,[IR52 장영실상] 삼성전자 `ST1000 디지털 스틸 카메라`,50.0,60.0,70.0,80.0
12609,2010.04.13 17:34,8배 빨라진 무선인터넷…삼성전자 `와이맥스2` 내년 상용화,65.0,75.0,85.0,90.0
12610,2010.04.14 17:27,또 인텔효과! 삼성전자·LG전자등 IT株 동반상승,55.0,65.0,75.0,85.0
12611,2010.04.14 14:26,"삼성서울병원, 국내 첫 ""전자책 서비스"" 제공",45.0,55.0,65.0,75.0
12612,2010.04.14 11:20,삼성전자 `아몰레드 빔` 출시,60.0,70.0,80.0,90.0
12613,2010.04.17 11:44,삼성전자 주가 100만원 넘을까,70.0,80.0,90.0,95.0
12614,2010.04.18 15:27,[전기 / 전자]삼성전자 23% 성장 90조 눈앞,65.0,75.0,85.0,90.0
12615,2010.04.19 16:58,[지식경영] 삼성전자 엔지니어들이 아끼는 보물상자가 있다?,50.0,60.0,70.0,80.0
12616,2010.04.20 17:22,"삼성전자, 수리비 상한제 도입",40.0,50.0,60.0,70.0
12617,2010.04.20 09:47,"삼성전자, 세계 첫 20나노 낸드플래시 양산",70.0,80.0,90.0,95.0
12618,2010.04.25 17:40,이건희 회장 `재산 1호` 삼성전자서 생명주식으로,60.0,70.0,80.0,90.0
12619,2010.04.26 17:33,"삼성전자, 야후와 손 잡았다",55.0,65.0,75.0,85.0
12620,2010.04.26 17:30,"삼성전자, 세계서 가장 얇은 3D TV `첫선`",60.0,70.0,80.0,90.0
12621,2010.04.27 18:37,"삼성전자, 국내 첫 안드로이드폰 공개",55.0,65.0,75.0,85.0
12622,2010.04.27 17:46,"삼성자산운용 김석 사장 ""삼성전자처럼 스피드경영 필요""",45.0,55.0,65.0,75.0
12623,2010.04.27 17:02,"[종목 포커스] 파캔OPC, 삼성전자 추가 납품소식에↑",50.0,60.0,70.0,80.0
12624,2010.04.27 09:12,갈등의 골 깊어지는 삼성전자와 KT,40.0,50.0,60.0,70.0
12625,2010.04.29 15:11,"삼성전자, 지구환경 지키는 영상 `플래닛 퍼스트` 상영",70.0,80.0,90.0,95.0
12626,2010.04.30 15:41,삼성전자 영업이익 사상최대 1분기 4조4100억원,80.0,85.0,90.0,95.0
12627,2010.04.30 15:37,"삼성전자, 월드컵·中노동절 특수로 2분기 실적 더 나아질 것",75.0,80.0,85.0,90.0
12628,2010.04.30 09:10,"삼성전자, 1분기에도 `깜짝실적`",60.0,70.0,80.0,90.0
12629,2010.05.02 18:36,"[월요아침] 삼성전자, `꿈의 직장` 되려면",50.0,60.0,70.0,80.0
12630,2010.05.03 17:47,삼성전자 작년 연결영업익 6조→11조,65.0,75.0,85.0,90.0
12631,2010.05.03 16:49,[IR52 장영실상] 삼성전자 `풀HD 3D LED TV`,55.0,65.0,75.0,85.0
12632,2010.05.04 17:19,"권오현 삼성전자 사장 ""반도체 경기 연말까지 좋을것""",70.0,80.0,90.0,95.0
12633,2010.05.04 09:51,"삼성전자, 태블릿PC 카드 왜 꺼내 들었나",50.0,60.0,70.0,80.0
12634,2010.05.04 09:26,"삼성전자, 태블릿PC 카드 왜 꺼내 들었나",50.0,60.0,70.0,80.0
12635,2010.05.10 17:26,삼성 전자레인지 프랑스서 큰인기,55.0,65.0,75.0,85.0
12636,2010.05.11 17:28,"현대차 - 삼성전자, 차·TV 함께 사면 20만원 할인",45.0,55.0,65.0,75.0
12637,2010.05.11 15:07,삼성전자 최다 장영실상 수상…매출액 7% R&D에 투자,70.0,80.0,90.0,95.0
12638,2010.05.11 14:59,현대차사면 삼성전자 제품 할인받는다,45.0,55.0,65.0,75.0
12639,2010.05.11 10:12,"삼성전자, 생활가전사업 세계 1위 달성한다",75.0,80.0,85.0,90.0
12640,2010.05.12 04:00,삼성전자 출신 부사장급 주요 포스트,60.0,70.0,80.0,90.0
12641,2010.05.12 04:00,"삼성전자 주력사업부, 소프트웨어·마케팅전문가 부상",55.0,65.0,75.0,85.0
12642,2010.05.13 17:46,"삼성전자,꿈의 나노소재 `그래핀` 상용화",60.0,70.0,80.0,90.0
12643,2010.05.13 17:45,"삼성전자, 셋톱박스 100만대 공급",65.0,75.0,85.0,90.0
12644,2010.05.13 17:45,"삼성과 멀어진 KT, LG전자와 손잡아",50.0,60.0,70.0,80.0
12645,2010.05.13 17:43,"IR52 장영실상, 삼성전자 등 13개 기업 수상",60.0,70.0,80.0,90.0
12646,2010.05.13 17:21,"[종목포커스] 오디텍, 삼성전자 LED투자 힘입어↑",50.0,60.0,70.0,80.0
12647,2010.05.15 13:10,울릉도 섬 소년 윤부근 삼성전자 사장의 성공스토리,45.0,55.0,65.0,75.0
12648,2010.05.16 18:19,"美 휴대폰시장 점유율, 삼성전자 30% 돌파",70.0,80.0,90.0,95.0
12649,2010.05.17 17:46,삼성전자 올 26조 투자 사상 최대,75.0,80.0,85.0,90.0
12650,2010.05.17 17:36,"삼성전자,공격투자로 2등확실히 따돌린다",65.0,75.0,85.0,90.0
12651,2010.05.17 15:04,"삼성전자, 쇼옴니아 OS 업그레이드",55.0,65.0,75.0,85.0
12652,2010.05.18 17:20,김기남 삼성전자 사장 금탑산업훈장,60.0,70.0,80.0,90.0
12653,2010.05.20 17:47,"피치, 삼성전자 신용등급 전망 상향",70.0,80.0,90.0,95.0
12654,2010.05.20 07:50,"EU집행위, 삼성전자ㆍ하이닉스에 벌금",40.0,50.0,60.0,70.0
12655,2010.05.23 18:27,"삼성전자, 축구 국가대표팀에 `갤럭시S` 증정",65.0,75.0,85.0,90.0
12656,2010.05.24 16:46,"삼성전자, 바다폰 `웨이브` 출시",55.0,65.0,75.0,85.0
12657,2010.05.24 09:24,"삼성 LG전자 ""구글TV 출현에도 영향 없다""",50.0,60.0,70.0,80.0
12658,2010.05.26 17:29,"삼성전자 HDD재생사업부, 크로바하이텍이 넘겨받아",45.0,55.0,65.0,75.0
12659,2010.05.26 16:45,[아름다운 동행상] 대통령 표창 / 삼성전자,60.0,70.0,80.0,90.0
12660,2010.05.26 04:00,삼성그룹 비(非)전자 계열사 뉴 리더들은 누구,50.0,60.0,70.0,80.0
12661,2010.05.26 04:00,"이건희 삼성전자 회장, 삼성생명 상장으로 주식부자 1위 올라",70.0,80.0,90.0,95.0
12662,2010.05.27 17:49,삼성전자·현대차 3인방 동반 강세,65.0,75.0,85.0,90.0
12663,2010.05.28 15:27,"삼성전자 카메라, 국제광고제 은상",55.0,65.0,75.0,85.0
12664,2010.05.28 09:47,`거침없는` 삼성전자 반도체 부문,60.0,70.0,80.0,90.0
12665,2010.05.31 17:53,IFRS기준 삼성전자 1분기 보고서 뭐가 달라졌나,50.0,60.0,70.0,80.0
12666,2010.06.03 17:50,[Hello! 증시] 삼성·LG전자 보고서 인기있는 이유,70.0,80.0,90.0,95.0
12667,2010.06.06 21:19,[부음] 강원모씨(삼성전자 부장) 부친상,45.0,55.0,65.0,75.0
12668,2010.06.06 21:19,[부음] 정재훈씨(삼성전자 부장) 부친상,45.0,55.0,65.0,75.0
12669,2010.06.06 18:00,삼성전자 하반기 키워드 `시장선점`,65.0,75.0,85.0,90.0
12670,2010.06.07 16:51,[IR52 장영실상] 삼성전자 `에어컨용 고효율 집진기 필터`,60.0,70.0,80.0,90.0
12671,2010.06.08 17:59,애플·삼성전자 증시선 무승부,50.0,60.0,70.0,80.0
12672,2010.06.10 17:34,"삼성전자, 비메모리도 확 키운다",55.0,65.0,75.0,85.0
12673,2010.06.11 20:15,삼성전자 ‘갤럭시S’ 아이폰4G와 한판 붙었다,60.0,70.0,80.0,90.0
12674,2010.06.11 11:29,이재용 삼성전자부사장 백화점 찾은 이유가…,50.0,60.0,70.0,80.0
12675,2010.06.12 16:24,5년 후 삼성전자 휴대폰은?,55.0,65.0,75.0,85.0
12676,2010.06.12 16:24,삼성전자 휴대폰 부품업체 4인방의 미래,50.0,60.0,70.0,80.0
12677,2010.06.12 16:24,삼성전자 휴대폰 전략 제대로 가고 있나,45.0,55.0,65.0,75.0
12678,2010.06.12 13:37,삼성전자 ‘갤럭시S’ 아이폰4G와 한판 붙었다,60.0,70.0,80.0,90.0
12679,2010.06.13 17:37,삼성전자 최대 고객은 소니,55.0,65.0,75.0,85.0
12680,2010.06.15 18:01,"어윤대 ""KB, 금융의 삼성전자로 키울것""",50.0,60.0,70.0,80.0
12681,2010.06.16 17:35,[Hello! 증시] 박지성 닮은 삼성전자…차두리 닮은 모비스,50.0,60.0,70.0,80.0
12682,2010.06.16 04:00,[편집부 칼럼] 애플과 맞붙은 삼성전자 미래는?,55.0,65.0,75.0,85.0
12683,2010.06.17 11:15,삼성전자 창업주 손녀 마약운반책?,50.0,60.0,70.0,80.0
12684,2010.06.21 17:25,"삼성전자, 서울시와 에너지절감 서비스",45.0,55.0,65.0,75.0
12685,2010.06.22 17:23,"최지성 삼성전자 사장 ""고급제품으로 수익성 높여라""",60.0,70.0,80.0,90.0
12686,2010.06.23 20:46,"윤종용 삼성전자 상임고문 ""고교평준화론 인재 못키워""",50.0,60.0,70.0,80.0
12687,2010.06.23 17:56,"삼성전자 ""3DTV·스마트폰에 집중""",55.0,65.0,75.0,85.0
12688,2010.06.28 17:40,삼성·LG전자도 구글TV 관심,50.0,60.0,70.0,80.0
12689,2010.06.29 17:16,"삼성전자, 의료기기 사업 출사표",60.0,70.0,80.0,90.0
12690,2010.06.29 15:26,[녹색경영대상] 환경부장관 표창 / 이성수 삼성전자 차장,50.0,60.0,70.0,80.0
12691,2010.06.29 15:26,[녹색경영대상] 제품상 국무총리표창 / 삼성전자 `넷북`,55.0,65.0,75.0,85.0
12692,2010.06.29 11:29,"중외제약, 삼성전자 혈액검사기 출시",70.0,80.0,90.0,95.0
12693,2010.06.29 11:15,"삼성전자와 손잡은 중외제약, 첫 프로젝트 수행",65.0,75.0,85.0,90.0
12694,2010.07.01 17:38,국내·외 최고기업은 삼성전자·애플,80.0,90.0,95.0,98.0
12695,2010.07.01 17:01,최지성 삼성전자 사장의 하반기 3대 키워드,45.0,55.0,65.0,75.0
12696,2010.07.05 17:26,"이기태 前 삼성전자 부회장, `Mr 애니콜` 연세대 교수로",40.0,50.0,60.0,70.0
12697,2010.07.06 08:47,"삼성전자, PC 본체 필요없는 컴퓨팅 환경 구축",70.0,80.0,90.0,95.0
12698,2010.07.07 17:25,삼성전자 분기 영업이익 첫 5조,75.0,85.0,90.0,95.0
12699,2010.07.07 17:14,[부음] 김영식씨(삼성전자 전무) 모친상,50.0,60.0,70.0,80.0
12700,2010.07.07 17:13,삼성전자 실적호조에도 시장반응은 시큰둥,55.0,65.0,75.0,85.0
12701,2010.07.07 17:11,삼성전자 3분기 실적 더 늘듯,70.0,80.0,90.0,95.0
12702,2010.07.07 17:11,삼성전자 `150조-20조 클럽` 가입기대,60.0,70.0,80.0,90.0
12703,2010.07.07 07:18,삼성전자 2분기 영업이익 5조 육박 또 사상최대,75.0,85.0,90.0,95.0
12704,2010.07.08 17:00,"삼성전자, 역대 글로벌 톱10 첫 진입",65.0,75.0,85.0,90.0
12705,2010.07.08 16:34,[매경 베스트클릭] 삼성전자 2분기 또 어닝 서프라이즈,70.0,80.0,90.0,95.0
12706,2010.07.09 15:32,글로벌 기업순위 삼성전자 32위,60.0,70.0,80.0,90.0
12707,2010.07.12 16:09,"삼성전자 바다폰, 한 달 만에 밀리언셀러 돌파",65.0,75.0,85.0,90.0
12708,2010.07.12 08:58,"삼성전자, 0.38% 오른 79.9만원 장 출발",55.0,65.0,75.0,85.0
12709,2010.07.13 17:35,[유가증권시장 공시] 삼성전자 / 미원상사 / 효성 등,50.0,60.0,70.0,80.0
12710,2010.07.13 17:16,"삼성전자-KT, 점점 더 멀어진다",40.0,50.0,60.0,70.0
12711,2010.07.13 17:12,[부음] 조경환씨(전 삼성전자 부장) 별세,50.0,60.0,70.0,80.0
12712,2010.07.14 17:51,"삼성전자 반도체, 인텔에 `판정패`",75.0,85.0,90.0,95.0
12713,2010.07.14 17:36,돌아온 외국인 삼성전자만 2179억 쓸어담아,70.0,80.0,90.0,95.0
12714,2010.07.14 17:34,인텔효과 있는데 삼성전자효과 왜 없나?,45.0,55.0,65.0,75.0
12715,2010.07.14 08:53,"`아이폰`들여온 KT, 삼성전자 괘씸죄에 걸렸다?",40.0,50.0,60.0,70.0
12716,2010.07.18 18:20,"아토, 삼성전자 후광효과 기대",60.0,70.0,80.0,90.0
12717,2010.07.20 17:25,"삼성전자, 온실가스 31% 줄였다",70.0,80.0,90.0,95.0
12718,2010.07.21 17:01,삼성전자 부사장급 연봉은 10억,55.0,65.0,75.0,85.0
12719,2010.07.23 15:08,삼성전자 아프리카 공략 가속…남아공서 삼성포럼 열어,65.0,75.0,85.0,90.0
12720,2010.07.24 04:00,"삼성전자, 납품가·구매관행 자체 조사",60.0,70.0,80.0,90.0
12721,2010.07.25 20:20,삼성정밀화학 전자소재 키운다,70.0,80.0,90.0,95.0
12722,2010.07.25 15:47,스마트그리드에 속타는 삼성전자,45.0,55.0,65.0,75.0
12723,2010.07.26 14:16,"삼성전자, 3D 콘텐트 제작에 참여",50.0,60.0,70.0,80.0
12724,2010.07.28 17:55,"최시중 방통위원장 ""삼성전자 최대이익 뉴스 `상대적 빈곤` 떠올라 가슴아팠다""",40.0,50.0,60.0,70.0
12725,2010.07.28 17:20,[기자 24시] 삼성전자에 의존하는 삼성계열사,55.0,65.0,75.0,85.0
12726,2010.07.28 04:00,[NEW Face] 조우현 삼성전자 건강연구소 소장,60.0,70.0,80.0,90.0
12727,2010.07.28 04:00,"이윤우 삼성전자 부회장, 삼성 성공신화 강연",50.0,60.0,70.0,80.0
12728,2010.07.29 08:49,"삼성전자, 전자책 사업 태블릿으로 선회",65.0,75.0,85.0,90.0
12729,2010.07.30 15:27,삼성전자 영업이익 5조100억 `반도체의 힘`,75.0,85.0,90.0,95.0
12730,2010.07.30 15:09,[유가증권시장 공시] 셀런 / 현대건설 / 삼성전자 등,50.0,60.0,70.0,80.0
12731,2010.07.30 15:05,삼성전자 외국인 지분율 50% 육박,65.0,75.0,85.0,90.0
12732,2010.07.30 14:59,"삼성전자, 영업이익률은 아직…2분기 13%로 애플의 절반",55.0,65.0,75.0,85.0
12733,2010.07.30 14:59,삼성전자 2분기 실적 들여다보니,60.0,70.0,80.0,90.0
